(a) integrin-associated fak	p190rhogap
mapk	lps
mapk	mek1
mapk	p62dok
mapk	pb
mapk	raf
mapk	ras
mapk	rasgap
mapk	s298
mapk	serum growth factor
mapk	shp-2
mapk	tnf-α
mapk	utlm cells exposed to e2
mapk-activated protein kinase-2	mapks
mapkp44	erα
mapks	cr(vi)
mapks	dual specificity phosphatase 1
mapks	heat shock protein 27
mapks	large family of phosphatases
mapks	lps
mapks	mapk-activated protein kinase-2
mapks	microcystin-lr
matrix	fibronectin
matrix	fn
matrix	integrin
matrix metallopeptidase 11	bpa
matrix metallopeptidase 13	entpd5
matrix metalloproteinase	fak-
mbl2	lectin
mcf-7	as2o3
mcf-7	resveratrol
mcl-1	bak
mcl-1	bax
mcl-1	caspase-9
mcl-1	e3 ligase
mcl-1	erk1/2
mcl-1	erk1/2-
mcl-1	gcda
mcl-1	gcda-activated
mcl-1	gcda-activated erk1/2
mcl-1	gsk-3β-mediated
mcl-1	k-ras
mcl-1	mek/erk1/2 [35]
mcl-1	pd98059
mcl-1	raf/
mcl-1	ras/
mcp-1	morphine
mcp-1	par-1
mcp-1	portal fibroblasts15,45–47
mcp-1	pro-collagen 1a1, connective tissue growth factor
mcp-1-deficiency	pro-collagen 1a1, connective tissue growth factor
mcp-1-deficiency	triglyceride
mct1	glut1
mct1	glut2
mctp1	c2 domains
mda-mb-231	paclitaxel
mdia1	srf
mdm2	mir-24-2
mdm2	p19arf
mdm2	p53
mdm2	p53 tumor suppressor
mdm2-p53	p53
mdr1	ap-1
mdr1	ape1
mdr1	nf-y
mdr1	p300
mdr1	qq ape1
mdr1	yb-1
mef	fn
mef	rac1
mehg	c-cbl
mehg	fyn
mehg	pdgfrα
mehg	redox/
meiqx	l1-rtp
mek	erk
mek	pak1
mek	u0126
mek and erk	pd98059
mek/erk	dasatinib
mek/erk	pd98059
mek/erk1/2 [35]	mcl-1
mek1	b-raf
mek1	c-raf
mek1	fak
mek1	mapk
mek1	mekk
mek1	raf
mek1	src
mekk	mek1
membrane	arf
membrane	cam
membrane	cd40
membrane	cd40l
membrane	kras
membrane	raf
membrane	rap1a
membrane	rho family gtp-binding proteins
membrane-bound dp receptor	dp receptor (dp1)
mer	xenoestrogens
mercury	sfn
met	hgf
metallothionein 1 genes (	zn
metallothionein1x	tcrp1
methoxyphenols	rna-binding protein hur
mgmt	o6bg (
mh7a	resveratrol
microcystin-lr	akt
microcystin-lr	c-myc
microcystin-lr	gsk-3β
microcystin-lr	mapks
microcystin-lr	pp1
microcystin-lr	β-catenin
microtubules	gef
microtubules	p190rhogef
microtubules	rhoa-specific
microtubules	rhoa-specific gef
mir-126	crk
mir-126	kras
mir-126	src
mir-155	junb
mir-155	jund
mir-16	bcl2
mir-21	erk-map kinase
mir-210	2
mir-210	erk1/2 molecules
mir-210	pdgf-aa
mir-210	pdgf-bb
mir-210	platelet-derived growth factor (pdgf)-bb
mir-210	ptpn2
mir-210	yc-1
mir-24	3'utr sites
mir-24	bcl-2
mir-24	mir-27b
mir-24-2	bcl-2
mir-24-2	h2afx
mir-24-2	h2ax
mir-24-2	mdm2
mir-27b	mir-24
mir-34b	cyclin d1
mir-34b	diethylstilbestrol
mir-34b	e2
mir-34b	estradiol
mir-34b	luciferase
mir-34b	p53-er
mir-34b	tam
mir-34b	tamoxifen
mir-34b	xenoestrogens
mir-34b	zea
mir-34b	zeranol
mir-34b/c	e2
mir-34b/c	p53
mirna (mir)-34b	cyclin d1
mithramycin a	pgl3:fl promoter
mitochondrial respiratory chain complexes i and ii	mn
mitogen-activated protein	mmp-1
mitogen-activated protein (map) kinase	mmp-1
mitogen-activated protein (map) kinase activation	phosphoinositide 3-kinase–dependent membrane recruitment of p62dok
mitogen-activated protein kinase (mapk)	receptor kinase (erk)
mitogen-activated protein kinase (mapk)-dependent	creb
mitogen-activated protein kinase (mapk)-dependent	erα
mitogen-activated protein kinase (mapk)-dependent	erβ
miz1	integrin
miz1	myc
miz1	mycv394d
miz1	promoter
miz1	site
mkk1	erk1/2
mkk3	cisplatin
mkk4	jnk
mkk4	jnk1/2
mkk4	p38 mapk
mkp1	map kinase
mlc	myosin light chain (mlc) phosphatase
mlc	pak1
mlc	rok
mlc at serine 19	pak1
mlc1a	rhoa
mlck	myosin
mmp-1	(map) kinase
mmp-1	ets transcription factor binding site
mmp-1	extracellular signal-regulated kinase (phospho-erk1/2
mmp-1	map kinases
mmp-1	mitogen-activated protein
mmp-1	mitogen-activated protein (map) kinase
mmp-2	curcumin
mmp-9	ad-jnk
mmp-9	fak
mmp-9	pma
mmp-9	resveratrol
mmp-9	sirt1
mmps	tnf-α
mn	caspase
mn	darpp-32-thr-34
mn	mitochondrial respiratory chain complexes i and ii
mnsod	caspase-8
mnsod	p38 mapk
monoher	dox
monomethylarsonous acid	egfr
morphine	caspase-3
morphine	mcp-1
morphine	naloxone
mouse	foxm1
mpges-1	cox-1
mpges-1	resveratrol
mpges-1	sc-560
mpges-1	trolox c
mpp2	b[a]p
mpp2	tcdd
mrfp-pkb	egfp-pdk1
mrlc	mrlc phosphatase
mrlc phosphatase	mrlc
mrp5	nrf2
msh3	mutsβ
msk1	erk
msk1	h3
mt1x	tcrp1
mtor	[ca2+]i
mtor	bapta/am
mtor	dox
mtor	fkbp12
mtor	p53
mtor	pkm2
mtor	raf-mek-erk
mtor	rapamycin
mtor	resveratrol
mtor inhibition	pkm2
mtor kinase	4ebp1
mtor kinase	p70s6k
mtor kinase	rapamycin
mtorc1	mtorc2
mtorc1	p70s6k
mtorc1	pras40
mtorc1	tsc2
mtorc2	akt
mtorc2	mtorc1
mtorc2	pras40
mtorc2	rapamycin
mtx	sod
muc1	egfr
murine	upa
mutl heterodimer	muts
muts	mutl heterodimer
mutsβ	msh3
myc	let-7 mirnas
myc	miz1
myc	nucleolin
myc	p15in4kb
myc	promoter
myc/mad-1 transcription factor	htert promotor
mycer	e-box
mycv394d	miz1
mycv394der	e-box
mycv394der	egf
myc–max complexes	e3-ligase
myc–max complexes	hecth9
myod	fn (
myod	prb
myod	rhoa
myosin	bdm
myosin	mlck
myosin	pak1
myosin	zo-1
myosin (titin	fn3 domains
myosin light chain	erk2
myosin light chain	myosin light chain kinase (mlck)
myosin light chain (mlc) phosphatase	mlc
myosin light chain (mlc) phosphatase	rok
myosin light chain kinase (mlck)	myosin light chain
myosin-driven	endogenous
n-acetylcysteine	caspase-3
n-cadherin	fgf receptor
n-cadherin	rac1
n-sh2	ptp domain
n-sh2 domain	ptp domain
n-wasp	cdc42
n17rac	actin
na+	ato
na,k-atpase	c-peptide
na,k-atpase	erk1/2
na,k-atpase isoform	c-peptide
na,k-atpase protein	c-peptide
na,k-atpase α1-subunit	c-peptide
na,k-atpase α1-subunit protein	c-peptide
naadp	u46619
nac	akt
nac	erk
nac	p38mapk
nac	zinc
nac1	bcl-2
nac1 (fig. 6)	hmgb1
nad-dependent deacetylase sirtuin 1	resveratrol
nadh	p63
nadph	ang ii
nahs	p-erk1/2
nahs	p38 mapk
naloxone	morphine
nalp1	caspase-1 monomers
nanog	p53
nanog	resveratrol
nanog reporter	resveratrol
nap1	wave1
nb4	pd98059
nci-h1781	hsp90
nck	p62dok
nck	p62dokgbd
nck	wasp
ncoa2	grip1
ncor	ppar-γ
ncor	sirt-1
ndga	5-lipoxygenase
ndrg2	bax
ndrg2	bcl-2
ndrg2	p53
necrosis	cd40∶cd154
nectin	cdc42
nectin-based cell–cell adhesion sites	c-src
nectins	cdc42
nef-3	frg
nemo	ikb kinase complex)
nemo	ikkβ peptide inhibitor (aa t735-e745
nephrin	pan
ner	eif3a
ner	ercc1
ner genes	brca1
ner proteins	eif3a
neural wiskott-aldrich syndrome protein	tuba
neuregulin	erbb receptors
neurogranin	cam
neurogranin	pkc
nf-at	akt
nf-at	glycogen synthase kinase 3 67
nf-kappab [23]	ahr
nf-kb	cisplatin
nf-kb	fak sirna
nf-kb	talin
nf-y	mdr1
nf-κb	adiponectin
nf-κb	ap-1
nf-κb	ape1
nf-κb	berbamine
nf-κb	cap
nf-κb	curcumin
nf-κb	dual specific protein phosphatase 1 (dusp1
nf-κb	il-1β
nf-κb	iκb-α
nf-κb	jnk1
nf-κb	nicotine
nf-κb	p50
nf-κb	p53
nf-κb	p65 subunits
nf-κb	pkcθ
nf-κb	promoter
nf-κb	rela
nf-κb	resveratrol
nf-κb	sn50
nf-κb	tak1
nf-κb	tnf-α
nf-κb elements	rela
nf-κb subunits	p50
nf-κb transcription factor	icam-1
nf-κb-regulated gene products	berbamine
nf-κβ	epo
nfat	anti-cd3–
nfatc1	ngf
nfatc1	ngf-
nfatc1	sp1
nfκ-b	dutpase promoter
nfκb	15d-pgj2
nfκb	curcumin
nfκb	p65
nfκb	rassf1a
nfκb	rassf6
nfκb	rosiglitazone
nfκb	tnf-α
nfκb p65 proteins using transcription factor elisa	p-c-jun and
nfκb transcription factor	curcumin
ngf	akt
ngf	csa
ngf	egf
ngf	insulin receptors
ngf	nfatc1
ngf	p21
ngf-	nfatc1
nh2	e3b1–abi-1
nh2-terminal sh2 of p85	abi1
nickel	hif-1α targets
nicotinamide	collagen type i
nicotinamide	resveratrol
nicotinamide	sirt-1
nicotine	ap-1
nicotine	h1299
nicotine	nf-κb
nicotine	p53
nimesulide	cox-2
nlrp3 inflammasome	ha
nm c-peptide	zeb
nmdar	glu
no	adp-ribosylcyclase
no	ifn-gamma
no	rapamycin
no	resveratrol
nocodazole	oct4
non-protein coding rna 295	rna 295 (ncrna00295)
nor1	sgk-1
notch-1	as2o3
notch-1 downstream genes	as2o3
notch1	dll1
notch1	jag1
nox1	2-acetylphenothiazine
nox1	cd38
nox1	et-1
nox1	nox4
nox1	p22phox
nox1	rac1
nox4	nox1
noxa	p73
noxa	rela
noxa promoter	rela
nps	cholesterol
nps	hdl)
nps	triglycerides
nqo1	20s proteasome (fig. 4c)
nqo1	b[a]p
nqo1	c/ebpα
nqo1	nqo1 and c/ebpα
nqo1	p63
nqo1 and c/ebpα	nqo1
nqo1 and c/ebpα	p63
nr4a receptors	atr
nr4a receptors (nor1	atr
nr4a1	bpa
nr4a1	hpte
nr5a receptor	atr
nr5a receptors	atr
nr5a receptors	cyp19a1
nrf1	keap1
nrf1	nrf2
nrf2	bap
nrf2	bcrp
nrf2	cpdt
nrf2	gsts, and mrps
nrf2	isothiocyanates
nrf2	keap1
nrf2	kelch-like ech-associated protein 1
nrf2	kelch-like ech-associated protein 1 (keap1
nrf2	maf
nrf2	map kinases
nrf2	mrp5
nrf2	nrf1
nrf2	pcn
nrf2	sfn
nrf2	sulforaphane
nrf2-are	keap1
nrg1-β	pcp
nu6027	atr
nu6027	pf-01367338
nuclear factor (nf)-κb	adiponectin
nuclear factor-kappab-mediated cytokine	curcumin
nuclear factor-kappab-mediated cytokine	resveratrol
nuclear factor-κb, activator protein-1	amifostine
nucleolin	myc
nucleotide	atad2
nucleotide	gnl2
nucleotide	gnl3
nutlin-3a	s6
o,p’-ddt	estrogen receptors
o,p’-ddt	pka
o2·−	cd38
o2·−	diphenyleneiodonium sulfate
o6bg (	mgmt
ob51	calmodulin-beads
obscurin	cam
obscurin	obscurin ig domains
obscurin	titin
obscurin	titin ig domains
obscurin	z9-z10
obscurin fragment	calmodulin
obscurin fragments	calmodulin
obscurin ig domains	obscurin
obscurin iq domain	calmodulin
obscurin ph domain	pip
obscurin–	titin
oct4	nocodazole
oct4	promoter
oct4	regions
oct4	sox2
oh-tam	erα target gene
oh-tam	esr1
oht	foxm1
orf1	ahr sirna
orf1	ahrr sirna
orf1	c/ebp-β
orf1	ebp-β
orf1	phip
orphan nuclear receptor superfamily	peroxisome proliferator-activated receptor
orphan receptor-α	cholesterol
osm (	cxl1 (chemokine ligand 1
other dna-binding transcription factors, such as ap-1 (activator protein 1	erα
ovcar-8	ccne1
oxaliplatin	dutpase mrna
oxaliplatin	dutpase protein
oxaliplatin	e2f site-mutant
oxaliplatin	p53
oxygen	hao1
p,p'-dde	ps2
p,p'-dde	ps2 mrna
p,p’-ddt	tnfα
p-c-jun and	nfκb p65 proteins using transcription factor elisa
p-erk1/2	nahs
p-p65	curcumin
p101	p110γ
p101 subunit	p110γ
p110	p85
p110	pi3-k
p110	pkcθ
p110	rasgtp
p110	vav
p110 isoforms	p85
p110 subunit of class ia pi3ks	p85 adaptor
p110γ	p101
p110γ	p101 subunit
p110γ	ras
p110–p85 complex	abi1
p120	apc
p120	cadherin
p120	cadherin complexes
p120	cadherin juxtamembrane domain
p120	cadherins
p120	catenin
p120	cdc42
p120	e-cadherin
p120	e-cadherins
p120	juxtamembrane
p120	p120-uncoupled
p120	rac
p120	rhoa
p120	tail
p120	α-catenin
p120 arm repeats	e-cadherin
p120 catenin	cadherins
p120 sequences	e-cadherin
p120-e-cadherin	arm domains
p120-related protein	e-cadherin
p120-uncoupled	p120
p120ctn	domain
p120ctn	rho
p120rasgap	shp-2
p120–	e-cadherin
p130cas	actin cytoskeletal rearrangements
p130cas	at1r
p130cas	crk
p130cas	cytokine receptor
p130cas	dock180
p130cas	dock180 module
p130cas	fak
p130cas	fit
p130cas	src
p130cas	src kinase
p130cas	src sh3
p130cas	upar
p130cas sd	upar
p130cas–crk complex	dock180
p130cas–crk complex	rac
p130cas–crk complex	upar
p130cas–crk complexes	crk
p130cas–crkii	upar
p15in4kb	myc
p190rhogap	(a) integrin-associated fak
p190rhogap	src
p190rhogap	v-src
p190rhogef	fak
p190rhogef	fn-associated rhoa
p190rhogef	gef
p190rhogef	kinase
p190rhogef	microtubules
p190rhogef	pyk2
p190rhogef	rhoa
p190rhogef expression	pyk2
p19arf	mdm2
p20 subunits	caspase-1
p21	amifostine
p21	cdc2
p21	cdkn3
p21	celecoxib
p21	curcumin
p21	cyclin e [28]
p21	cyclin-dependent kinases
p21	cyclin-dependent kinases [23]
p21	hk-2
p21	ngf
p21	p53
p21	resveratrol
p21	sp1
p21	sp1, inducing hk-2 cell growth arrest
p21	tfap2α
p21	trail
p21	vegf
p21	zinc
p21 rho	fak–src
p21 rho–gtpase	fak
p21 rho–gtpase	src
p21(waf1/cip1) promoter (regions 1	p53
p21-activated kinase [pak]–interacting exchange factor	rac1
p21/cip1	resveratrol
p21/waf1	promoters
p21cip1	p53
p21cip1	tgf-β
p21waf-1/cip1	cdk-4
p22phox	nox1
p27	cyclin d1
p27	fkhrl1
p27	trail
p27kip1	e-cadherin
p27kip1	ras
p300	ape1
p300	hif-1
p300	mdr1
p300	p53
p300	protein
p300	yb-1
p38	[ca2+]i
p38	cadmium
p38	captopril
p38	cddp
p38	jnk
p38	losartan
p38	map2k4
p38 (12)	dusp1
p38 (18–20)	rac1
p38 mapk	at1r
p38 mapk	cu
p38 mapk	hsp27
p38 mapk	map kinase kinase
p38 mapk	mkk4
p38 mapk	mnsod
p38 mapk	nahs
p38 mitogen activated protein kinase	c-abl
p38, and	pi3k
p38mapk	ang ii
p38mapk	cisplatin
p38mapk	cocl2
p38mapk	nac
p42/44 mapk	pkc
p42/44 mapk	tnf-α
p44	zebularine
p50	curcumin
p50	nf-κb
p50	nf-κb subunits
p50	p65
p50a	p66shcp47a
p53	acape1
p53	akt
p53	amifostine
p53	ap-endonuclease
p53	ape1
p53	atr
p53	bax
p53	bcl-2
p53	beta-catenin
p53	bpa
p53	c-abl
p53	c-myc
p53	caspase-8
p53	celecoxib
p53	chk2
p53	cisplatin
p53	curcumin
p53	cyclin-dependent kinases [23]
p53	dna repair enzyme
p53	dutpase
p53	dutpase gene
p53	dutpase promoter
p53	dutpase protein
p53	e3 ubiquitin ligase
p53	e6
p53	er
p53	erk1
p53	erα
p53	extracellular signal-regulated kinase 1
p53	gw8510
p53	hdac1
p53	hr
p53	igf-1
p53	igf-1r
p53	ins2
p53	insulin
p53	mdm2
p53	mdm2-p53
p53	mir-34b/c
p53	mtor
p53	nanog
p53	ndrg2
p53	nf-κb
p53	nicotine
p53	oxaliplatin
p53	p21
p53	p21(waf1/cip1) promoter (regions 1
p53	p21cip1
p53	p300
p53	promoter
p53	regions
p53	resveratrol
p53	sirt3
p53	sites
p53	sp1
p53	vdr
p53	wr-1065
p53	zebularine
p53	β-catenin
p53 tumor suppressor	mdm2
p53-dependent apoptosis of h	acape1
p53-er	mir-34b
p53aip1	vegf
p53mut	dutpase
p62dok	mapk
p62dok	nck
p62dok	ph domain
p62dok	pi3k products
p62dok	rasgap
p62dok 1481316	rasgap
p62dok family members	c-ret
p62dok mutant	rasgap
p62dokgbd	nck
p62dokδph-gfp	gfp
p63	20s proteasomal
p63	c/ebpα
p63	c/ebpα protein
p63	cadmium
p63	nadh
p63	nqo1
p63	nqo1 and c/ebpα
p63	δnp63
p65	a20, down-regulating ikkα
p65	anti-p65 antibody
p65	berbamine
p65	nfκb
p65	p50
p65 mrna	a01
p65 mrna	b18
p65 mrna	curcumin
p65 subunit	mannitol
p65 subunits	nf-κb
p66shc	grb2
p66shc	rac1
p66shc	ras
p66shc	sos1
p66shcch2	c-sh3 domain
p66shcch2	sh3 domains
p66shcp47a	p50a
p66shcy3a	grb2
p70s6k	irs-1
p70s6k	mtor kinase
p70s6k	mtorc1
p70s6k	rapamycin
p73	cisplatin
p73	noxa
p73	rela
p73	yap mrna
p73	δnp63
p73 sirna	procaspase-8
p85	abi1
p85	ar
p85	eps8–abi1–sos-1
p85	gab1
p85	gab1f446
p85	p110
p85	p110 isoforms
p85	pdgfr
p85	rac-gef
p85	steroid
p85 adaptor	p110 subunit of class ia pi3ks
p85/pi3k	ar
p85/pi3k	res
p85s6k	α-p70s6k antibody
p85–abi1	fig. 1 d)
p97	gab2
paclitaxel	cathepsin b
paclitaxel	fadd
paclitaxel	mda-mb-231
pag/cbp	csk
pai-1	integrin
pai-1	smb domain
pai-1	upar
pak	cdc42
pak1	cdc42
pak1	fn
pak1	gtpases
pak1	mek
pak1	mlc
pak1	mlc at serine 19
pak1	myosin
pak1	rac1
pak1	rac1 complexes
pak1	rho kinase
pak1	s298
pak1δcrib	rac1
pak2	rok
pak65	sos-1
pan	nephrin
par-1	mcp-1
parp	celecoxib
parp	doxycyclin
parp activity	doxycyclin
partner apoptotic protease activating factor-1	cytochrome c
pax5	ape1
pax8	ape1
paxillin	gst-rac1δc
paxillin	rac1
pb	cysteine
pb	ifnγ
pb	mapk
pb	peroxisome proliferator-activated receptor-γ
pb	tnf-α
pb	vascular endothelial growth factor (vegf
pb(ii)	mangiferin
pb+lps-associated tnf-α	c21h18no4cl
pb+lps-associated tnf-α	pkc inhibitor
pbaf	pr
pc-3	resveratrol
pc3	rsv
pcaf	baf
pcb-153	cd14
pck1	acth
pcn	egfr
pcn	erk1/2
pcn	nrf2
pcna	ap-1
pcna	erα
pcna	polh-1
pcp	nrg1-β
pd98059	cd11b
pd98059	dasatinib
pd98059	erk/mapk
pd98059	hl60
pd98059	mcl-1
pd98059	mek and erk
pd98059	mek/erk
pd98059	nb4
pd98059	stat1
pdgf	fak
pdgf	gab1
pdgf	pdgf receptor-α
pdgf receptor-α	pdgf
pdgf-aa	mir-210
pdgf-bb	akt
pdgf-bb	bax
pdgf-bb	caspase-3
pdgf-bb	glutamate
pdgf-bb	mir-210
pdgfr	dasatinib
pdgfr	p85
pdgfrα	mehg
pdk1	anti-cd3–
pdk1	ph domain
pdk1	pkb
pdk1	pkb ph domain
pdk1	pkc
pdk1	pkcθ
pdk1	ptdins (3,4,5)p3
pdpk1	pip3
pe	prb
perk	egfr
perk	erlotinib
peroxisome proliferator-activated receptor	orphan nuclear receptor superfamily
peroxisome proliferator-activated receptor-γ	pb
peroxisome proliferator–activated receptor-α	adiponectin
persistent environmental toxin	aryl hydrocarbon receptor (ahr) complex
pf-01367338	nu6027
pfoa	erk
pfoa	erk-mapk
pfoa	receptor kinase (erk)
pfpea	erk
pfpea	receptor kinase (erk)
pge2	aromatase
pge2	camp
pge2	cox-1
pge2	pi3k/akt
pge2	pka
pge2	pka in mlo-y4 cells.(32) pka
pge2	resveratrol
pge2	β-catenin
pgl3:fl promoter	mithramycin a
pgl3:sp1δ construct	sp1
ph	domains
ph domain	bam32
ph domain	dh domain
ph domain	domain
ph domain	gab1
ph domain	p62dok
ph domain	pdk1
ph domain	phosphoinositide-3-kinase
ph domain	pi(3,4,5)p3
ph domain	pi3-kinase
ph domain	pi3k
ph domain	ptdins (3,4,5)p3
ph domain (δph)	gab1
ph domains	bam32 ph domain
ph domains	phosphoinositide
ph domains	phosphoinositides
ph domains	pi(4,5)p2
ph domains	pips
ph domains	ptb domains
ph2ax	cisplatin
phalloidin	f-actin
phip	huh-7
phip	l1-rtp
phip	orf1
phosphatidylserine	annexin-v–fitc
phospho-i4r	irs-1
phospho-mkp-1	curcumin
phosphoinoisitide-dependent kinase 1	t308
phosphoinositide	ph domains
phosphoinositide	ptb domains
phosphoinositide 3-kinase–dependent membrane recruitment of p62dok	mitogen-activated protein (map) kinase activation
phosphoinositide-3-kinase	ph domain
phosphoinositides	ph domains
phospholipase c (plc)γ	inositol 1,4,5 trisphosphate
phospholipase cγ2	bam32
pi(3)k	gab1
pi(3,4)p2	dock2
pi(3,4,5)3	pi3k-dependent
pi(3,4,5)p3	dapp1
pi(3,4,5)p3	ph domain
pi(4,5)p2	ph domains
pi(4,5)p2	pld2 ph domain
pi-3 kinase	egf
pi-3 kinase	gab1
pi-3 kinase product	pleckstrin homology
pi-3-oh	rac
pi-4p-5 kinase isoform	arf
pi3-k	ampk
pi3-k	cd28
pi3-k	p110
pi3-k	pkcθ
pi3-k	pkcθ (fig. 5)
pi3-kinase	gelsolin
pi3-kinase	gelsolin [16]
pi3-kinase	integrin
pi3-kinase	ph domain
pi3-kinase	pi3-kinase activity
pi3-kinase	tat-peptides
pi3-kinase activity	pi3-kinase
pi3k	ar
pi3k	atr
pi3k	bam32
pi3k	erα
pi3k	fak
pi3k	p38, and
pi3k	ph domain
pi3k	protein kinase b
pi3k	res
pi3k	resveratrol
pi3k	tnf
pi3k	tnf receptors
pi3k enzyme	ar and erα
pi3k products	p62dok
pi3k-akt	pten gene
pi3k-dependent	bam32 ph domain
pi3k-dependent	pi(3,4,5)3
pi3k/akt	[ca2+]i
pi3k/akt	foxo
pi3k/akt	pge2
pi3k/akt	resveratrol
pimonidazole	cysteine
pimonidazole	thiols
pip	obscurin ph domain
pip3	pdpk1
pip3	rac
pip3	wave2
pip3	wave2 complex
pip3 and rac	wave2
pip5k	arf proteins
pip5k	arf6
pip5k	arf6 for ca2+-dependent dcv exocytosis
pip5k	arf6q67l
pip5k	ca2+
pip5k	pkc
pips	ph domains
piroxicam	cox-2
piroxicam	il-1β
piroxicam	il-6
pka	gsk3
pka	o,p’-ddt
pka	pge2
pka	pkc
pka	protein phosphatase 2a (pp2a)
pka in mlo-y4 cells.(32) pka	pge2
pkb	pdk1
pkb	trp80
pkb ph domain	pdk1
pkc	bcr-induced
pkc	lipid kinase
pkc	neurogranin
pkc	p42/44 mapk
pkc	pdk1
pkc	pip5k
pkc	pka
pkc	rac1
pkc	tnf-α
pkc inhibitor	pb+lps-associated tnf-α
pkc-η	fyn kinase
pkcα	berberine
pkcβ2	inos
pkcβ2	ly333531
pkcθ	3-phosphoinositide-dependent kinase-1
pkcθ	anti-cd3
pkcθ	ap-1
pkcθ	nf-κb
pkcθ	p110
pkcθ	pdk1
pkcθ	pi3-k
pkcθ	vav
pkcθ	vav and rac
pkcθ (fig. 5)	pi3-k
pkcθ (fig. 5)	vav
pkm gene	sp1 and nf-y (ecat)
pkm2	mtor
pkm2	mtor inhibition
pkm2	rapamycin
pkm2	resveratrol
pkn	prk2/
pkr	zebularine
plakophilin-3	e-cadherin
plasma membrane–associated receptors	ptb domains
platelet-derived growth factor (pdgf)-bb	mir-210
platelet-derived growth factor receptor	shp-2
plcz	gfp-pkcθ
plcγ1	bam32
plcγ1	lat mutant
plcγ2	bam32
pld	arno
pld1	arf
pld2 ph domain	glu-
pld2 ph domain	pi(4,5)p2
pld2 ph domain	pld2 ph domain with pi(4,5)p2-containing luvs
pld2 ph domain with pi(4,5)p2-containing luvs	pld2 ph domain
pleckstrin homology	pi-3 kinase product
pleckstrin homology	ptdins-3,4-p2
pleckstrin-homology	vav
pm00104	et-743
pma	mmp-9
pma	resveratrol
pnpo	calycosin
polh-1	pcna
poly(ic)	tlr3
polη [45]	rev1
portal fibroblasts15,45–47	mcp-1
pp1	fyn
pp1	microcystin-lr
pp2	frg
pp2	gfp
pp2	rac
pp2	rac exchange factors
pp2	raf
pp2	s298
pp2	src
pp2a	ser473
pp2a-related akt	caspase-3
pp3	rac
ppar	glucose
ppar-γ	ncor
ppar-γ	sirt-1
pparα	foxm1
ppr-perk-pmsk1	baf
ppt	insulin
ppxy motif proteins	yap protein
pr	baf
pr	baf complex
pr	baf250
pr	baf57
pr	baf57 subunit of the complex
pr	egfr
pr	estrogen receptor
pr	hre1
pr	hre1 [27]
pr	pbaf
pr-1	cas
pr-1	fak
pras40	mtorc1
pras40	mtorc2
prb	bpa
prb	myod
prb	pe
prela	erlotinib
presenilin-1	e-cadherin
prk2	fyn kinase
prk2	src kinase
prk2/	pkn
prk2/pkn kinases	rho mutant
pro-apoptotic	bax
pro-collagen 1a1, connective tissue growth factor	mcp-1
pro-collagen 1a1, connective tissue growth factor	mcp-1-deficiency
pro-upa	erk1
pro-upa	upar
pro-upa	vn
procaspase-3	cd2+
procaspase-8	p73 sirna
procaspase-9	apaf-1
procaspase-9	cd2+
procaspase9	cytc
prolactin	cadmium
proline	grb2
proline	sh3 domains
proline	sos
promoter	ahr
promoter	foxo1
promoter	hif-1
promoter	lps-induced
promoter	miz1
promoter	myc
promoter	nf-κb
promoter	oct4
promoter	p53
promoter	rela
promoter	rtta
promoter	stat3
promoter	tcf-4
promoter	tcf4
promoter	topo-2α gene
promoter	vdr
promoter	δnp63
promoters	bax
promoters	h3 histone
promoters	p21/waf1
promoters	sp1
propranolol	[3h]thymidine
prostaglandin e2	resveratrol
protein	p300
protein kinase b	atr
protein kinase b	pi3k
protein phosphatase 2a (pp2a)	akt
protein phosphatase 2a (pp2a)	pka
protein phosphatase 5	cd
protein-α (c/ebpα	c-kit
ps1	e-cadherin
ps2	p,p'-dde
ps2 mrna	p,p'-dde
psa	ar
psa	flutamide
psa	u0126
pstat1	egf
pstat5	flll32
ptb domain	c-ret
ptb domains	ph domains
ptb domains	phosphoinositide
ptb domains	plasma membrane–associated receptors
ptdins (3,4,5)p3	pdk1
ptdins (3,4,5)p3	ph domain
ptdins-3,4-p2	(ph) domains
ptdins-3,4-p2	pleckstrin homology
pten	akt
pten	resveratrol
pten gene	pi3k-akt
pth-ago1-rna elution
                rnp complexes	rnase a
ptp domain	n-sh2
ptp domain	n-sh2 domain
ptp1b	1,2-nq
ptpn13	caspase-8
ptpn2	mir-210
puma	slug
px domains	fyve domains
pyk2	(f)
pyk2	(g) kinase- and y402-dependent
pyk2	btk
pyk2	fak
pyk2	fak−/− f-actin
pyk2	p190rhogef
pyk2	p190rhogef expression
pyk2	rhoa
pyk2	syk
pyk2	tnf
pyk2 kinase	rho
qq ape1	mdr1
rab 11	tpβ [37]
rac	actin/myosin
rac	arno
rac	c3 transferase
rac	cooh
rac	crk
rac	crk-mediated
rac	dh-ph motif
rac	dock180
rac	dock2
rac	e-cadherin
rac	e3b1
rac	efa6
rac	fak
rac	gtp
rac	integrin
rac	integrin engage
rac	irsp53
rac	kalirin
rac	p120
rac	p130cas–crk complex
rac	pi-3-oh
rac	pip3
rac	pp2
rac	pp3
rac	rac (n17rac)
rac	rho
rac	tre17
rac	upar
rac	vitronectin
rac	wave2
rac (n17rac)	rac
rac [7]	arf6
rac ca	a431
rac exchange factors	pp2
rac gefs tiam1 (fig. 1 b	cooh
rac- and cdc42-gtp	cdc42 using the p21-binding domain of pak
